county,date,deviation,label
Colusa,2018-06-01,-0.11257188500364673,Green
Contra Costa,2018-06-01,-0.12944258967743746,Green
Del Norte,2018-06-01,0.22525530458339732,Red
El Dorado,2018-06-01,0.40353641374806143,Red
Fresno,2018-06-01,-0.04277919104423608,Green
Glenn,2018-06-01,-0.05315034559614802,Green
Humboldt,2018-06-01,0.17066152740435583,Yellow
Imperial,2018-06-01,-0.04592096526608534,Green
Inyo,2018-06-01,0.05555242691546006,Green
Kern,2018-06-01,-0.03528430926591803,Green
Kings,2018-06-01,-0.0747570945746673,Green
Lake,2018-06-01,0.08141001205821505,Green
Lassen,2018-06-01,-0.3246664023380172,Green
Los Angeles,2018-06-01,-0.028433318192354427,Green
Madera,2018-06-01,-0.15449925039791296,Green
Marin,2018-06-01,-0.12785273461912242,Green
Mariposa,2018-06-01,0.006323962359222256,Green
Mendocino,2018-06-01,-0.24320519453713552,Green
Merced,2018-06-01,-0.12677295147936457,Green
Modoc,2018-06-01,0.08474621729109676,Green
Mono,2018-06-01,-0.0676665878950014,Green
Monterey,2018-06-01,-0.13423561726377073,Green
Napa,2018-06-01,-0.21679243791388178,Green
Nevada,2018-06-01,0.08772177382025716,Green
Orange,2018-06-01,0.002463794703892981,Green
Placer,2018-06-01,-0.3339574271550025,Green
Plumas,2018-06-01,-0.2402332462204773,Green
Riverside,2018-06-01,-0.04424655851854737,Green
Sacramento,2018-06-01,0.22123640128419586,Red
San Benito,2018-06-01,-0.19167997576953213,Green
San Bernardino,2018-06-01,0.18529335055120022,Red
San Diego,2018-06-01,-0.08053682779752112,Green
San Francisco,2018-06-01,0.2503513531640946,Red
San Joaquin,2018-06-01,-0.1453313766105438,Green
San Luis Obispo,2018-06-01,-0.2752647430899818,Green
San Mateo,2018-06-01,-0.31482996906879135,Green
Santa Barbara,2018-06-01,-0.07418277356663351,Green
Santa Clara,2018-06-01,-0.3368917065220622,Green
Santa Cruz,2018-06-01,-0.03176010001823474,Green
Shasta,2018-06-01,0.049880641439438156,Green
Sierra,2018-06-01,-0.06431325781490614,Green
Siskiyou,2018-06-01,0.0507625165908847,Green
Solano,2018-06-01,0.17018589309265458,Red
Sonoma,2018-06-01,-0.17302699778764483,Green
Stanislaus,2018-06-01,0.05769166217879246,Green
Sutter,2018-06-01,0.011593352337407818,Green
Tehama,2018-06-01,0.023411696062512328,Green
Trinity,2018-06-01,0.14406525949027474,Green
Tulare,2018-06-01,-0.030411536741917097,Green
Tuolumne,2018-06-01,-0.02987161466826798,Green
Ventura,2018-06-01,0.14993397384358523,Red
Yolo,2018-06-01,0.2857380310094987,Yellow
Yuba,2018-06-01,0.013843239977301724,Green
Alameda,2018-07-01,0.3160933930842075,Red
Alpine,2018-07-01,0.13707174155270255,Yellow
Amador,2018-07-01,-0.1477485372283849,Green
Butte,2018-07-01,-0.012004629573734285,Green
Calaveras,2018-07-01,-0.024321622782109992,Green
Colusa,2018-07-01,0.17189162281875833,Red
Contra Costa,2018-07-01,-0.0017092870985188297,Green
Del Norte,2018-07-01,0.17943968028610996,Yellow
El Dorado,2018-07-01,0.21710160768602885,Red
Fresno,2018-07-01,-0.025766560354732078,Green
Glenn,2018-07-01,0.25504061187539734,Red
Humboldt,2018-07-01,0.15479682215528054,Green
Imperial,2018-07-01,0.1331106211865096,Green
Inyo,2018-07-01,0.12311597225722588,Yellow
Kern,2018-07-01,-0.052177488212056714,Green
Kings,2018-07-01,-0.019923241420314056,Green
Lake,2018-07-01,0.07020079958212236,Green
Lassen,2018-07-01,-0.024687068138612836,Green
Los Angeles,2018-07-01,0.03194127048030447,Green
Madera,2018-07-01,-0.032798886043249424,Green
Marin,2018-07-01,-0.07941708263257634,Green
Mariposa,2018-07-01,0.05107879014727764,Green
Mendocino,2018-07-01,-0.030174337919150383,Green
Merced,2018-07-01,-0.003113987399005777,Green
Modoc,2018-07-01,-0.11247890332858335,Green
Mono,2018-07-01,-0.32208671942521855,Green
Monterey,2018-07-01,-0.024366940508399448,Green
Napa,2018-07-01,-0.0912940440418838,Green
Nevada,2018-07-01,0.08328429419447529,Green
Orange,2018-07-01,0.02954816420111337,Green
Placer,2018-07-01,-0.22060179434967647,Green
Plumas,2018-07-01,-0.16805171601911387,Green
Riverside,2018-07-01,0.05243488684853635,Green
Sacramento,2018-07-01,0.21053004737181427,Red
San Benito,2018-07-01,-0.043118990812658034,Green
San Bernardino,2018-07-01,0.1745523944006173,Yellow
San Diego,2018-07-01,0.008305106377044994,Green
San Francisco,2018-07-01,0.4036099517544859,Red
San Joaquin,2018-07-01,-0.12907359223284165,Green
San Luis Obispo,2018-07-01,-0.320854507480372,Green
San Mateo,2018-07-01,-0.23799415455541956,Green
Santa Barbara,2018-07-01,0.15369769934350627,Green
Santa Clara,2018-07-01,-0.25740963991356236,Green
Santa Cruz,2018-07-01,-0.04123039733034034,Green
Shasta,2018-07-01,-0.09942649651702772,Green
Sierra,2018-07-01,0.014638601460457949,Green
Siskiyou,2018-07-01,-0.013802649675064955,Green
Solano,2018-07-01,0.17973383145097707,Red
Sonoma,2018-07-01,-0.06509541642751455,Green
Stanislaus,2018-07-01,0.07852204422291793,Green
Sutter,2018-07-01,0.05099723266959152,Green
Tehama,2018-07-01,0.0011030232426062487,Green
Trinity,2018-07-01,-0.03390519762100999,Green
Tulare,2018-07-01,-0.01798442198524909,Green
Tuolumne,2018-07-01,-0.030742725741148124,Green
Ventura,2018-07-01,0.24765334265674271,Red
Yolo,2018-07-01,0.26056502409835897,Green
Yuba,2018-07-01,0.13495891855883665,Yellow
Alameda,2018-08-01,0.44736905481813305,Red
Alpine,2018-08-01,0.11760582837477779,Green
Amador,2018-08-01,0.015111823424885488,Green
Butte,2018-08-01,0.4607200014726063,Red
Calaveras,2018-08-01,-0.009043497639838041,Green
Colusa,2018-08-01,0.15079789477378963,Red
Contra Costa,2018-08-01,-0.015384028446185246,Green
Del Norte,2018-08-01,0.05007736821633834,Green
El Dorado,2018-08-01,0.13745862908143855,Yellow
Fresno,2018-08-01,0.02909405724500895,Green
Glenn,2018-08-01,0.24471493357439392,Red
Humboldt,2018-08-01,0.3510525219084822,Red
Imperial,2018-08-01,0.09432420141812078,Green
Inyo,2018-08-01,-0.11836986147111077,Green
Kern,2018-08-01,0.020310454532516432,Green
Kings,2018-08-01,0.007327609239057867,Green
Lake,2018-08-01,0.14772563654923387,Yellow
Lassen,2018-08-01,-0.09720435160770816,Green
Los Angeles,2018-08-01,-0.011863300041319386,Green
Madera,2018-08-01,-0.013174421823252716,Green
Marin,2018-08-01,0.00511420014098694,Green
Mariposa,2018-08-01,0.3842181202933059,Red
Mendocino,2018-08-01,-0.02829556751466871,Green
Merced,2018-08-01,0.03147937405313668,Green
Modoc,2018-08-01,-0.11543262535912871,Green
Mono,2018-08-01,-0.09821290870624594,Green
Monterey,2018-08-01,-0.07285549864207722,Green
Napa,2018-08-01,-0.08344150899006055,Green
Nevada,2018-08-01,-0.056214048760917006,Green
Orange,2018-08-01,0.046390181751229165,Green
Placer,2018-08-01,-0.26536328435246886,Green
Plumas,2018-08-01,0.38958057813254526,Red
Riverside,2018-08-01,0.0442785148912611,Green
Sacramento,2018-08-01,0.2278649815937774,Red
San Benito,2018-08-01,-0.22121363831072158,Green
San Bernardino,2018-08-01,0.15176780113218982,Yellow
San Diego,2018-08-01,0.04219018418391911,Green
San Francisco,2018-08-01,0.4135495917105377,Red
San Joaquin,2018-08-01,-0.0880432827189045,Green
San Luis Obispo,2018-08-01,-0.15656407449477,Green
San Mateo,2018-08-01,-0.16106598672563016,Green
Santa Barbara,2018-08-01,0.19592431480253614,Yellow
Santa Clara,2018-08-01,-0.24745041613399835,Green
Santa Cruz,2018-08-01,0.05716969449225553,Green
Shasta,2018-08-01,0.12122852897232378,Green
Sierra,2018-08-01,-0.010873911396487754,Green
Siskiyou,2018-08-01,0.15708287561353554,Yellow
Solano,2018-08-01,0.10192622108279042,Green
Sonoma,2018-08-01,-0.1214802601659206,Green
Stanislaus,2018-08-01,0.1098068643663878,Green
Sutter,2018-08-01,-0.00960651952838791,Green
Tehama,2018-08-01,-0.006354497896528537,Green
Trinity,2018-08-01,0.05468524249543525,Green
