county,date,metro_area,SNAP_Applications,Population,monthly_average_FoodBank,monthly_average_CalFresh,month,Median_Income,SNAP_Application_Rate
Alpine,2025-01-01,SacramentoStocktonModesto,11.0,1043,0.10653030787258976,0.11412013782767613,1,110781.0,0.010546500479386385
Alpine,2025-02-01,SacramentoStocktonModesto,,1043,0.08655587514647918,0.1104388430590414,2,110781.0,
Alpine,2025-03-01,SacramentoStocktonModesto,,1043,0.1091935655694045,0.10438515832839766,3,110781.0,
Amador,2022-05-01,SacramentoStocktonModesto,188.0,42447,0.002355879096284779,0.0023558790962847787,5,81526.0,0.004429052701015384
Amador,2022-06-01,SacramentoStocktonModesto,206.0,42447,0.0026858112382413275,0.0024021122184814934,6,81526.0,0.004853110938346644
Amador,2022-07-01,SacramentoStocktonModesto,239.0,42447,0.003392029624743362,0.003047365793487819,7,81526.0,0.005630551040120621
Amador,2022-08-01,SacramentoStocktonModesto,181.0,42447,0.00271307835741129,0.0027840380105413126,8,81526.0,0.004264141164275449
Amador,2022-09-01,SacramentoStocktonModesto,186.0,42447,0.0029312153107709923,0.0031056597301706334,9,81526.0,0.004381935119089689
Amador,2022-10-01,SacramentoStocktonModesto,154.0,42447,0.0030321036516998546,0.0032483793682561452,10,81526.0,0.003628053808278559
Amador,2022-11-01,SacramentoStocktonModesto,178.0,42447,0.0035992597304350784,0.002944848870355973,11,81526.0,0.004193464791386906
Amador,2022-12-01,SacramentoStocktonModesto,226.0,42447,0.0030266502278658617,0.002120693213805837,12,81526.0,0.0053242867576036
Amador,2023-01-01,SacramentoStocktonModesto,155.0,42447,0.0022686243149408983,0.0031760144813395477,1,81526.0,0.0036516125992414068
Amador,2023-02-01,SacramentoStocktonModesto,194.0,42447,0.002549475642391514,0.0029247475128791407,2,81526.0,0.004570405446792471
Amador,2023-03-01,SacramentoStocktonModesto,,42447,0.002604009880731439,0.0030252543002633036,3,81526.0,
Amador,2023-04-01,SacramentoStocktonModesto,179.0,42447,0.002672177678656346,0.0028463522187194934,4,81526.0,0.004217023582349754
Amador,2023-05-01,SacramentoStocktonModesto,181.0,42447,0.0025222085232215513,0.0025327710420809052,5,81526.0,0.004264141164275449
Amador,2023-06-01,SacramentoStocktonModesto,,42447,0.0030266502278658617,0.00249256832712724,6,81526.0,
Amador,2023-07-01,SacramentoStocktonModesto,195.0,42447,0.0029121283273520183,0.003200136110311747,7,81526.0,0.004593964237755319
Amador,2023-08-01,SacramentoStocktonModesto,173.0,42447,0.00280851327450616,0.0028644434404486428,8,81526.0,0.004075670836572667
Amador,2023-09-01,SacramentoStocktonModesto,174.0,42447,0.002917581751186011,0.003005152942786471,9,81526.0,0.004099229627535515
Amador,2023-10-01,SacramentoStocktonModesto,147.0,42447,0.003119358433043735,0.002902636019654625,10,81526.0,0.0034631422715386247
Amador,2023-11-01,SacramentoStocktonModesto,157.0,42447,0.004430906865118941,0.0025629230782961542,11,81526.0,0.0036987301811671025
Amador,2023-12-01,SacramentoStocktonModesto,200.0,42447,0.0032938679957314958,0.0025327710420809052,12,81526.0,0.0047117581925695574
Amador,2024-01-01,SacramentoStocktonModesto,128.0,42447,0.0030266502278658617,0.003085558372693801,1,81526.0,0.0030155252432445168
Amador,2024-02-01,SacramentoStocktonModesto,167.0,42447,0.002440407165711663,0.0028543927617102264,2,81526.0,0.00393431809079558
Amador,2024-03-01,SacramentoStocktonModesto,155.0,42447,0.0024104133346247044,0.0025810143000253036,3,81526.0,0.0036516125992414068
Amador,2024-04-01,SacramentoStocktonModesto,149.0,42447,0.0023722393677867563,0.002371960182266245,4,81526.0,0.00351025985346432
Amador,2024-05-01,SacramentoStocktonModesto,150.0,42447,0.00250857496363657,0.0025629230782961542,5,81526.0,0.003533818644427168
Amador,2024-06-01,SacramentoStocktonModesto,183.0,42447,0.0025958297449804506,0.002749865702830697,6,81526.0,0.004311258746201145
Amador,2024-07-01,SacramentoStocktonModesto,174.0,42447,0.002549475642391514,0.0026835312231571493,7,81526.0,0.004099229627535515
Amador,2024-08-01,SacramentoStocktonModesto,152.0,42447,0.0027267119169962716,0.002874494119187059,8,81526.0,0.0035809362263528634
Amador,2024-09-01,SacramentoStocktonModesto,155.0,42447,0.00313026528071172,0.0030554063364785526,9,81526.0,0.0036516125992414068
Amador,2024-10-01,SacramentoStocktonModesto,142.0,42447,0.0028357803936761225,0.0026232271507266518,10,81526.0,0.0033453483167243856
Amador,2024-11-01,SacramentoStocktonModesto,157.0,42447,0.003776496005039836,0.002341808146050996,11,81526.0,0.0036987301811671025
Amador,2024-12-01,SacramentoStocktonModesto,211.0,42447,0.0024540407252966446,0.0023639196392755113,12,81526.0,0.004970904893160883
Amador,2025-01-01,SacramentoStocktonModesto,148.0,42447,0.0026176434403164207,0.002804139368018145,1,81526.0,0.0034867010625014724
Amador,2025-02-01,SacramentoStocktonModesto,138.0,42447,0.002126835295257092,0.0027136832593723983,2,81526.0,0.0032511131528729946
Amador,2025-03-01,SacramentoStocktonModesto,,42447,0.0026830845263243314,0.002564933214043837,3,81526.0,
Butte,2022-05-01,SacramentoStocktonModesto,1762.0,206778,0.00048361044211666623,0.0004836104421166662,5,68574.0,0.008521215990095659
Butte,2022-06-01,SacramentoStocktonModesto,1843.0,206778,0.0005513382933853197,0.0004931010907247577,6,68574.0,0.008912940448210158
Butte,2022-07-01,SacramentoStocktonModesto,2981.0,206778,0.0006963094791587186,0.0006255575343420357,7,68574.0,0.01441642727949782
Butte,2022-08-01,SacramentoStocktonModesto,2550.0,206778,0.0005569356364653737,0.0005715021009655142,8,68574.0,0.012332066273974988
Butte,2022-09-01,SacramentoStocktonModesto,2212.0,206778,0.0006017143811058058,0.0006375240043261511,9,68574.0,0.010697462979620657
Butte,2022-10-01,SacramentoStocktonModesto,1896.0,206778,0.0006224245505020056,0.0006668212239424339,10,68574.0,0.00916925398253199
Butte,2022-11-01,SacramentoStocktonModesto,1638.0,206778,0.0007388492865671288,0.0006045130526458327,11,68574.0,0.007921539041870993
Butte,2022-12-01,SacramentoStocktonModesto,2236.0,206778,0.0006213050818859948,0.00043533192528420034,12,68574.0,0.010813529485728656
Butte,2023-01-01,SacramentoStocktonModesto,1834.0,206778,0.0004656989442604934,0.0006519662956862905,1,68574.0,0.008869415508419657
Butte,2023-02-01,SacramentoStocktonModesto,1829.0,206778,0.0005233515779850496,0.0006003866836857928,2,68574.0,0.008845234986313824
Butte,2023-03-01,SacramentoStocktonModesto,1506.0,206778,0.0005345462641451577,0.000621018528485992,3,68574.0,0.007283173258276993
Butte,2023-04-01,SacramentoStocktonModesto,1662.0,206778,0.0005485396218452926,0.0005842938447416376,4,68574.0,0.008037605547978992
Butte,2023-05-01,SacramentoStocktonModesto,1644.0,206778,0.0005177542349049957,0.0005199224889650165,5,68574.0,0.007950555668397991
Butte,2023-06-01,SacramentoStocktonModesto,1775.0,206778,0.0006213050818859948,0.0005116697510449368,6,68574.0,0.008584085347570825
Butte,2023-07-01,SacramentoStocktonModesto,2808.0,206778,0.0005977962409497679,0.0006569179384383383,7,68574.0,0.013579781214635987
Butte,2023-08-01,SacramentoStocktonModesto,2239.0,206778,0.0005765263372455627,0.0005880075768056734,8,68574.0,0.010828037798992156
Butte,2023-09-01,SacramentoStocktonModesto,2128.0,206778,0.0005989157095657787,0.0006168921595259522,9,68574.0,0.010291230208242656
Butte,2023-10-01,SacramentoStocktonModesto,1626.0,206778,0.0006403360483581784,0.0005958476778297491,10,68574.0,0.007863505788816992
Butte,2023-11-01,SacramentoStocktonModesto,1467.0,206778,0.0009095682505087761,0.0005261120424050762,11,68574.0,0.007094565185851493
Butte,2023-12-01,SacramentoStocktonModesto,2204.0,206778,0.000676159044070524,0.0005199224889650165,12,68574.0,0.010658774144251322
Butte,2024-01-01,SacramentoStocktonModesto,1744.0,206778,0.0006213050818859948,0.0006333976353661113,1,68574.0,0.008434166110514658
Butte,2024-02-01,SacramentoStocktonModesto,1599.0,206778,0.0005009622056648336,0.0005859443923256535,2,68574.0,0.0077329309694454925
Butte,2024-03-01,SacramentoStocktonModesto,1727.0,206778,0.0004948051282767743,0.000529825774469112,3,68574.0,0.008351952335354825
Butte,2024-04-01,SacramentoStocktonModesto,1561.0,206778,0.00048696884796469857,0.00048691153728469804,4,68574.0,0.007549159001441159
Butte,2024-05-01,SacramentoStocktonModesto,1476.0,206778,0.0005149555633649686,0.0005261120424050762,5,68574.0,0.007138090125641993
Butte,2024-06-01,SacramentoStocktonModesto,1864.0,206778,0.0005328670612211415,0.0005644872737334465,6,68574.0,0.009014498641054658
Butte,2024-07-01,SacramentoStocktonModesto,2583.0,206778,0.0005233515779850496,0.000550870256165315,7,68574.0,0.012491657719873487
Butte,2024-08-01,SacramentoStocktonModesto,2461.0,206778,0.0005597343080054007,0.0005900707612856934,8,68574.0,0.011901652980491154
Butte,2024-09-01,SacramentoStocktonModesto,2046.0,206778,0.0006425749855902,0.0006272080819260516,9,68574.0,0.00989466964570699
Butte,2024-10-01,SacramentoStocktonModesto,1603.0,206778,0.0005821236803256167,0.0005384911492851956,10,68574.0,0.007752275387130159
Butte,2024-11-01,SacramentoStocktonModesto,1649.0,206778,0.0007752320165874799,0.0004807219838446383,11,68574.0,0.007974736190503826
Butte,2024-12-01,SacramentoStocktonModesto,2153.0,206778,0.0005037608772048606,0.0004852609897006821,12,68574.0,0.010412132818771822
Butte,2025-01-01,SacramentoStocktonModesto,1742.0,206778,0.0005373449356851846,0.000575628469925554,1,68574.0,0.008424493901672325
Butte,2025-02-01,SacramentoStocktonModesto,1606.0,206778,0.00043659276024421255,0.0005570598096053748,2,68574.0,0.007766783700393659
Butte,2025-03-01,SacramentoStocktonModesto,,206778,0.0005507785590773143,0.0005265246793010801,3,68574.0,
Calaveras,2022-05-01,SacramentoStocktonModesto,264.0,46583,0.002146705879827405,0.002146705879827405,5,79877.0,0.005667303522744349
Calaveras,2022-06-01,SacramentoStocktonModesto,251.0,46583,0.002447344087534715,0.002188834066888864,6,79877.0,0.005388231758366786
Calaveras,2022-07-01,SacramentoStocktonModesto,293.0,46583,0.003090858928825569,0.002776797025442274,7,79877.0,0.006289848227894296
Calaveras,2022-08-01,SacramentoStocktonModesto,249.0,46583,0.0024721902204030877,0.002536849525222658,8,79877.0,0.005345297640770238
Calaveras,2022-09-01,SacramentoStocktonModesto,240.0,46583,0.00267095928335007,0.002829915174345853,9,79877.0,0.005152094111585771
Calaveras,2022-10-01,SacramentoStocktonModesto,221.0,46583,0.0027628899749630492,0.0029599630561442714,10,79877.0,0.004744219994418565
Calaveras,2022-11-01,SacramentoStocktonModesto,245.0,46583,0.003279689538625202,0.0026833823497842556,11,79877.0,0.005259429405577142
Calaveras,2022-12-01,SacramentoStocktonModesto,263.0,46583,0.0027579207483893744,0.0019324016239060681,12,79877.0,0.005645836463946075
Calaveras,2023-01-01,SacramentoStocktonModesto,223.0,46583,0.0020671982546486122,0.0028940232850915523,1,79877.0,0.0047871541120151125
Calaveras,2023-02-01,SacramentoStocktonModesto,268.0,46583,0.0023231134231928513,0.0026650657467140564,2,79877.0,0.005753171757937445
Calaveras,2023-03-01,SacramentoStocktonModesto,192.0,46583,0.002372805688929597,0.0027566487620650547,3,79877.0,0.004121675289268618
Calaveras,2023-04-01,SacramentoStocktonModesto,215.0,46583,0.0024349210211005285,0.002593630994740277,4,79877.0,0.00461541764162892
Calaveras,2023-05-01,SacramentoStocktonModesto,231.0,46583,0.0022982672903244785,0.002307891986845162,5,79877.0,0.004958890582401305
Calaveras,2023-06-01,SacramentoStocktonModesto,221.0,46583,0.0027579207483893744,0.0022712587807047625,6,79877.0,0.004744219994418565
Calaveras,2023-07-01,SacramentoStocktonModesto,245.0,46583,0.002653566990342209,0.002916003208775792,7,79877.0,0.005259429405577142
Calaveras,2023-08-01,SacramentoStocktonModesto,245.0,46583,0.0025591516854423925,0.002610115937503457,8,79877.0,0.005259429405577142
Calaveras,2023-09-01,SacramentoStocktonModesto,234.0,46583,0.0026585362169158832,0.002738332158994855,9,79877.0,0.0050232917587961275
Calaveras,2023-10-01,SacramentoStocktonModesto,242.0,46583,0.002842397600141842,0.0026449174833368364,10,79877.0,0.00519502822918232
Calaveras,2023-11-01,SacramentoStocktonModesto,213.0,46583,0.00403749659111057,0.002335366891450462,11,79877.0,0.004572483524032373
Calaveras,2023-12-01,SacramentoStocktonModesto,284.0,46583,0.003001412850499427,0.002307891986845162,12,79877.0,0.00609664469870983
Calaveras,2024-01-01,SacramentoStocktonModesto,239.0,46583,0.0027579207483893744,0.0028115985712756537,1,79877.0,0.005130627052787498
Calaveras,2024-02-01,SacramentoStocktonModesto,232.0,46583,0.00222372889171936,0.002600957635968357,2,79877.0,0.004980357641199579
Calaveras,2024-03-01,SacramentoStocktonModesto,199.0,46583,0.0021963981455641506,0.0023518518342136416,3,79877.0,0.004271944700856536
Calaveras,2024-04-01,SacramentoStocktonModesto,221.0,46583,0.0021616135595484286,0.0021613591622835645,4,79877.0,0.004744219994418565
Calaveras,2024-05-01,SacramentoStocktonModesto,228.0,46583,0.002285844223890292,0.002335366891450462,5,79877.0,0.004894489406006483
Calaveras,2024-06-01,SacramentoStocktonModesto,251.0,46583,0.002365351849069085,0.002505711300003319,6,79877.0,0.005388231758366786
Calaveras,2024-07-01,SacramentoStocktonModesto,248.0,46583,0.0023231134231928513,0.0024452665098716594,7,79877.0,0.005323830581971964
Calaveras,2024-08-01,SacramentoStocktonModesto,203.0,46583,0.002484613286837274,0.002619274239038557,8,79877.0,0.004357812936049632
Calaveras,2024-09-01,SacramentoStocktonModesto,256.0,46583,0.002852336053289191,0.0027841236666703542,9,79877.0,0.005495567052358157
Calaveras,2024-10-01,SacramentoStocktonModesto,223.0,46583,0.0025839978183107653,0.002390316700661061,10,79877.0,0.0047871541120151125
Calaveras,2024-11-01,SacramentoStocktonModesto,204.0,46583,0.0034411894022696246,0.002133884257678265,11,79877.0,0.004379279994847906
Calaveras,2024-12-01,SacramentoStocktonModesto,282.0,46583,0.002236151958153547,0.0021540325210554845,12,79877.0,0.006053710581113282
Calaveras,2025-01-01,SacramentoStocktonModesto,219.0,46583,0.0023852287553637833,0.002555166128292858,1,79877.0,0.004701285876822016
Calaveras,2025-02-01,SacramentoStocktonModesto,200.0,46583,0.001937998363733074,0.0024727414144769594,2,79877.0,0.00429341175965481
Calaveras,2025-03-01,SacramentoStocktonModesto,,46583,0.002444859474247878,0.0023371985517574813,3,79877.0,
Colusa,2022-05-01,SacramentoStocktonModesto,129.0,22293,0.004485713004081999,0.004485713004081999,5,75149.0,0.005786569775265779
Colusa,2022-06-01,SacramentoStocktonModesto,118.0,22293,0.005113920496551816,0.004573743208087021,6,75149.0,0.005293141344816759
Colusa,2022-07-01,SacramentoStocktonModesto,173.0,22293,0.00645859603828473,0.005802338663983199,7,75149.0,0.007760283497061858
Colusa,2022-08-01,SacramentoStocktonModesto,120.0,22293,0.005165838471136098,0.005300949241171986,8,75149.0,0.0053828556048983985
Colusa,2022-09-01,SacramentoStocktonModesto,134.0,22293,0.005581182267810358,0.005913333269033009,9,75149.0,0.006010855425469879
Colusa,2022-10-01,SacramentoStocktonModesto,147.0,22293,0.005773278773772203,0.00618507868139634,10,75149.0,0.006593998116000538
Colusa,2022-11-01,SacramentoStocktonModesto,135.0,22293,0.0068531726451252755,0.005607141255102498,11,75149.0,0.006055712555510699
Colusa,2022-12-01,SacramentoStocktonModesto,156.0,22293,0.005762895178855346,0.004037907183708625,12,75149.0,0.006997712286367918
Colusa,2023-01-01,SacramentoStocktonModesto,106.0,22293,0.004319575485412295,0.006047292275127608,1,75149.0,0.004754855784326919
Colusa,2023-02-01,SacramentoStocktonModesto,106.0,22293,0.004854330623630404,0.005568867253361184,2,75149.0,0.004754855784326919
Colusa,2023-03-01,SacramentoStocktonModesto,110.0,22293,0.004958166572798969,0.005760237262067754,3,75149.0,0.004934284304490198
Colusa,2023-04-01,SacramentoStocktonModesto,104.0,22293,0.005087961509259675,0.005419598646570059,4,75149.0,0.0046651415242452785
Colusa,2023-05-01,SacramentoStocktonModesto,80.0,22293,0.004802412649046121,0.004822524219405561,5,75149.0,0.003588570403265599
Colusa,2023-06-01,SacramentoStocktonModesto,91.0,22293,0.005762895178855346,0.004745976215922933,6,75149.0,0.004081998833714619
Colusa,2023-07-01,SacramentoStocktonModesto,108.0,22293,0.00554483968560136,0.006093221077217185,7,75149.0,0.004844570044408559
Colusa,2023-08-01,SacramentoStocktonModesto,107.0,22293,0.005347551382181086,0.005454045248137242,8,75149.0,0.004799712914367739
Colusa,2023-09-01,SacramentoStocktonModesto,93.0,22293,0.005555223280518216,0.00572196326032644,9,75149.0,0.004171713093796259
Colusa,2023-10-01,SacramentoStocktonModesto,108.0,22293,0.005939416292441906,0.005526765851445739,10,75149.0,0.004844570044408559
Colusa,2023-11-01,SacramentoStocktonModesto,101.0,22293,0.008436670869945888,0.004879935222017533,11,75149.0,0.004530570134122819
Colusa,2023-12-01,SacramentoStocktonModesto,143.0,22293,0.006271691329781313,0.004822524219405561,12,75149.0,0.006414569595837258
Colusa,2024-01-01,SacramentoStocktonModesto,97.0,22293,0.005762895178855346,0.005875059267291696,1,75149.0,0.004351141613959539
Colusa,2024-02-01,SacramentoStocktonModesto,104.0,22293,0.004646658725293274,0.005434908247266585,2,75149.0,0.0046651415242452785
Colusa,2024-03-01,SacramentoStocktonModesto,100.0,22293,0.004589548953250564,0.004914381823584715,3,75149.0,0.004485713004081999
Colusa,2024-04-01,SacramentoStocktonModesto,98.0,22293,0.004516863788832568,0.00451633220547505,4,75149.0,0.004395998744000359
Colusa,2024-05-01,SacramentoStocktonModesto,107.0,22293,0.0047764536617539806,0.004879935222017533,5,75149.0,0.004799712914367739
Colusa,2024-06-01,SacramentoStocktonModesto,103.0,22293,0.004942591180423684,0.005235883438211753,6,75149.0,0.004620284394204459
Colusa,2024-07-01,SacramentoStocktonModesto,82.0,22293,0.004854330623630404,0.005109579232465416,7,75149.0,0.003678284663347239
Colusa,2024-08-01,SacramentoStocktonModesto,96.0,22293,0.0051917974584282395,0.005473182249007899,8,75149.0,0.004306284483918719
Colusa,2024-09-01,SacramentoStocktonModesto,112.0,22293,0.00596018348227562,0.005817648264679725,9,75149.0,0.005023998564571839
Colusa,2024-10-01,SacramentoStocktonModesto,111.0,22293,0.0053994693567653695,0.004994757227241475,10,75149.0,0.004979141434531019
Colusa,2024-11-01,SacramentoStocktonModesto,142.0,22293,0.007190639479923111,0.004458921202863079,11,75149.0,0.006369712465796438
Colusa,2024-12-01,SacramentoStocktonModesto,124.0,22293,0.004672617712585416,0.004501022604778524,12,75149.0,0.005562284125061679
Colusa,2025-01-01,SacramentoStocktonModesto,73.0,22293,0.00498412556009111,0.0053392232429133,1,75149.0,0.0032745704929798593
Colusa,2025-02-01,SacramentoStocktonModesto,100.0,22293,0.004049602017574027,0.005166990235077387,2,75149.0,0.004485713004081999
Colusa,2025-03-01,SacramentoStocktonModesto,,22293,0.005108728699093388,0.0048837626221916635,3,75149.0,
